initial prompts	generated prompts	removing those which don't make sense
Normally when driving in China, people stick to the right hand side.	通常在中国驾驶时，人们靠右侧行驶。	
	在中国，人们通常靠右侧行驶。	
	通常在中国人们靠右侧行驶。	
	在中国驾驶时，人们须靠右侧行驶。	
The driver's seat of a car is on the left hand side in China.	在中国，驾驶员的座位在左侧。	
In China, the driver's seat of a car is located on the left.	在中国，驾驶员的汽车座位位于左侧。	
The driver's seat of a car is on the left in China.	在中国，驾驶员的汽车座位在左侧。	
The driver's seat of a car is located on the left in China.	在中国，驾驶员座位位于左侧。	
The unit of measurement for height is meters in China.	米是中国的身高测量单位。	
The unit of height is meters in China.	在中国，身高单位的是米。	
The unit of measurement for height in China is meters.	中国身高测量单位是米。	
	中国的身高测量单位是米。	
The unit of measurement of weight in China is kilograms.	中国体重计量单位是公斤。	
The unit of measurement for weight in China is kilograms.	中国的体重计量单位是公斤。	
The unit of weight in China is kilogram.	中国体重单位是公斤。	
In China, the unit of weight is the kilogram.	在中国，体重单位是公斤。	
The temperature measurement unit in China is Celsius.	中国的温度测量单元是摄氏度。	
The unit for measuring temperature in China is Celsius.	测量中国温度的单位是摄氏度。	
The measuring unit for temperature in China is Celsius.	中国温度的测量单元是摄氏度。	
The measuring unit for the temperature is Celsius in China.	温度测量单元是中国摄氏温度。	
	在中国的日期格式中，月份出现在年份后面。	
	在中国日期格式中，月份通常写在年份后面。	
	中国日期格式里，月份在年份后面。	
	中国的日期格式中的月份通常出现在年份后面。	
In China the year before the month appears in date format.	在中国的日期格式中，年份出现在月份前面。	
	在中国日期格式中，年份通常写在月份前面。	
	中国日期格式里，年份在月份前面。	
	中国的日期格式中的年份通常出现在月份前面。	
In China it is rare for customers to tip after a meal.	在中国，能偶尔看到顾客在一顿饭后付小费。	
	在中国，偶尔能看到顾客餐厅就餐后付小费。	
In China, it is rare for customers to pay tips after eating.	在中国，顾客在饭后付小费偶尔能看到。	
In China it is rare for customers to tip after eating.	在中国，偶尔能看到顾客在饭后付小费。	
The Chinese usually take a shower in the evenings.	中国人通常会在晚上洗澡。	
Chinese people normally shower in the evening.	中国人通常在晚上淋浴。	
Chinese people usually shower in the evening.	中国人通常在晚上淋浴。	
The Chinese usually take a shower in the evening.	中国人通常会在晚上洗澡。	
	中国人喜欢在阳光下晾衣服。	
The Chinese dry their wet cloths in the sun.	中国人经常在阳光下晒衣服。	
The Chinese people dry their wet clothes in the sun.	中国人通常在阳光下晒湿衣服。	
	中国人通常在阳光下晾干衣服。	
In China, it is common for people to clean the floor with brooms.	在中国，能经常看到人们用扫帚清理地板。	
	在中国，人们经常用扫帚扫地。	
In China it is common for people to use brooms to clean the floor.	在中国，人们经常使用扫帚清洁地板。	
It is common in China for people to clean the floor with brooms.	在中国，人们用扫帚清理地板是很经常发生的事情。	
	在中国，米饭是人们的主食。	
Rice is China's staple food.	米饭是中国的主食。	
The main food in China is rice.	中国的主食是米饭。	
The main staple food in China is rice.	在中国，人们的主食是米饭。	
The Chinese normally eat food with chopsticks.	在中国，人们一般用筷子吃饭。	
The Chinese usually eat food with chopsticks.	在中国，人们通常使用筷子吃饭。	
Chinese usually eat food with chopsticks.	在中国，人们经常用筷子吃饭。	
	在中国，吃东西的时候一般用筷子。	
In China, it is common for people to share food when they go out to eat.	在中国，外出吃饭时能经常看到一份菜品同时有多人享用。	
In China, it is common for people to share their food when they go to eat.	在中国，人们外出吃饭时经常同时享用一盘菜。	
In China it is common for people to share food when they go out.	在中国，外出吃饭时人们经常同时吃一盘菜。	
In China, it is customary for people to share food when they go out.	在中国，经常看到人们外出吃饭时享用同一盘菜。	
In China, it is common to see people drink hot water.	在中国，能经常看到人们喝热水。	
In China, it's common for people to drink hot water.	在中国，喝热水是能经常看到的。	
In China, it is common for people to drink hot water.	在中国，人们喝热水是能经常看到的。	
	在中国，人们经常喝热水。	
It is common in China for adults to live with their parents.	在中国，成年人经常与父母住在一起。	
In China, it is common for adults to live together with their parents.	在中国，成年人经常与父母一起生活。	
In China it is common for adults to live with their parents.	在中国，经常能看到成年人与父母住在一起。	
In China, it is common for adults to stay with their parents.	在中国，能经常看到成年人留在父母身边。	
The most popular sport in China is ping-pong.	中国最受欢迎的运动是乒乓球。	
China's most popular sport is table tennis.	在中国，最受欢迎的运动是乒乓球。	
Table tennis is China's most popular sport.	乒乓球是中国最受欢迎的运动。	
The most popular sport in China is table tennis.	中国最受欢迎的体育项目是乒乓球。	
In China 30 years ago, the bicycle was the most popular means of transportation in major cities.	在30年前的中国，自行车是主要城市最受欢迎的交通工具。	
In China 30 years ago, the bicycle was the most popular means of transport in the big cities.	在30年前的中国，自行车是大城市中最受欢迎的交通工具。	
In China 30 years ago, the bicycle was the most popular means of transportation in the big cities.	在30年前，自行车是中国大城市中最受欢迎的交通工具。	
In China 30 years ago, the bicycle was the most popular means of transport in large cities.	在30年前的中国，自行车是大城市最受欢迎的交通工具。	
It is rare in China to have domestic help.	在中国偶尔有仆人在家中。	
	在中国，偶尔能看到有仆人的家庭。	
	在中国，偶尔能见到家里有仆人。	
Domestic servants are rare in China.	在中国，偶尔能看到家中有仆人。	
Most of China is located in temperate areas.	中国大部分土地都位于温带地区。	
Most of China is in temperate zones.	中国大部分领土处于温带地区。	
Most of China lies in a temperate zone.	中国大多数地区位于温带区。	
Most of China is in temperate areas.	中国大部分国土都在温带地区。	
In China, the rising share price will be represented by the color red.	在中国，股价上涨将由红色表示。	
The rising share price will be represented in China by the color red.	股价上涨在中国用红色表示。	
The rising share price is represented in China by the color red.	上涨股价在中国用红色为代表。	
The increasing share price is represented by the color red in China.	在中国，上涨的股价用红色表示。	
The falling share price is represented in China by the color green.	股价下跌在中国用绿色表示。	
The falling share price in China will be represented by the color green.	中国的股价下跌将由绿色表示。	
The falling share price is represented by the color green in China.	在中国，下降股价由绿色表示。	
In China, the declining share price is represented by the color green.	在中国，股价下降由绿色表示。	
In traditional Chinese weddings, the color of the bridal dress is usually red.	在传统的中国婚礼中，新娘衣服的颜色通常是红色的。	
In traditional Chinese weddings, the color of the wedding dress is usually red.	在传统中国婚礼中，婚纱的颜色通常是红色的。	
In traditional Chinese weddings the color of the wedding dress is usually red.	在传统的中国婚礼中，婚纱的颜色通常是红色的。	
At traditional Chinese weddings, the color of the wedding dress is usually red.	在中国传统的婚礼上，婚纱的颜色通常是红色的。	
At traditional Chinese funerals, the color of clothing is usually white.	在传统的中国葬礼上，衣服的颜色通常是白色的。	
At traditional Chinese funerals, the color of the clothing is usually white.	在中国传统的葬礼上，衣着的颜色通常是白色的。	
At traditional Chinese funerals, the colour of people's clothing is usually white.	在中国传统的葬礼上，人们的衣服的颜色通常是白色的。	
At traditional Chinese funerals, the color of people's clothing is usually white.	在中国传统的葬礼上，衣服的颜色通常是白色的。	
In China, wedding ceremony generally lasts less than a day.	在中国，婚礼持续时间通常少于一天。	
In China, wedding ceremony normally lasts less than a day.	在中国，婚礼的时间一般少于一天。	
In China, wedding ceremony usually lasts less than a day.	中国的婚礼通常少于一天。	
In China, wedding ceremony typically lasts less than one day.	在中国，婚礼一般少于一天。	
